,workflow,N,T,time,seed
0,policy_learning_only,100,10,58.001632729,1
0,policy_learning_only,100,10,57.054995218,2
0,policy_learning_only,100,10,57.956808306,3
0,policy_learning_only,100,10,59.048072392999984,4
0,policy_learning_only,100,10,58.561674918999984,5
0,policy_learning_only,100,10,57.53172960300003,6
0,policy_learning_only,100,10,58.24790698099997,7
0,policy_learning_only,100,10,58.10539132700001,8
0,policy_learning_only,100,10,58.188558703999945,9
0,policy_learning_only,100,10,58.77046683100002,10
0,policy_learning_only,100,20,95.01166175699996,1
0,policy_learning_only,100,20,94.902430536,2
0,policy_learning_only,100,20,94.60196876399993,3
0,policy_learning_only,100,20,93.45328766900002,4
0,policy_learning_only,100,20,92.86550403599995,5
0,policy_learning_only,100,20,92.40732330999981,6
0,policy_learning_only,100,20,91.44679231299983,7
0,policy_learning_only,100,20,91.66182463699988,8
0,policy_learning_only,100,20,91.14759753199996,9
0,policy_learning_only,100,20,90.74104321100003,10
