,workflow,N,T,time,seed
0,preprocessing_only,100,10,32.367464604999995,1
0,preprocessing_only,100,10,31.887900879999997,2
0,preprocessing_only,100,10,31.971479463999998,3
0,preprocessing_only,100,10,31.906022486999987,4
0,preprocessing_only,100,10,31.93669192499999,5
0,preprocessing_only,100,10,32.17259415500001,6
0,preprocessing_only,100,10,32.01678887599999,7
0,preprocessing_only,100,10,32.047914090999996,8
0,preprocessing_only,100,10,32.12400187600002,9
0,preprocessing_only,100,10,32.16109939900002,10
0,preprocessing_only,100,20,64.23165768500002,1
0,preprocessing_only,100,20,64.49778682800002,2
0,preprocessing_only,100,20,64.07120052900001,3
0,preprocessing_only,100,20,64.65091798600008,4
0,preprocessing_only,100,20,64.08239144899994,5
0,preprocessing_only,100,20,64.62178927000002,6
0,preprocessing_only,100,20,63.886391945000014,7
0,preprocessing_only,100,20,64.54993299199998,8
0,preprocessing_only,100,20,63.930560815000035,9
0,preprocessing_only,100,20,64.40445594100004,10
0,preprocessing_only,500,10,154.026890678,1
0,preprocessing_only,500,10,154.741224097,2
0,preprocessing_only,500,10,155.40005869699996,3
0,preprocessing_only,500,10,154.89342603299997,4
0,preprocessing_only,500,10,153.57014145699998,5
0,preprocessing_only,500,10,153.45435434299998,6
0,preprocessing_only,500,10,153.7523381179999,7
0,preprocessing_only,500,10,153.74598020999997,8
0,preprocessing_only,500,10,155.05376584299984,9
0,preprocessing_only,500,10,154.11077833000013,10
0,preprocessing_only,500,20,307.7479772060001,1
0,preprocessing_only,500,20,311.1892171940001,2
0,preprocessing_only,500,20,308.1125975259997,3
0,preprocessing_only,500,20,308.6862499929998,4
0,preprocessing_only,500,20,311.78226162400006,5
0,preprocessing_only,500,20,308.5963837449999,6
0,preprocessing_only,500,20,309.072310477,7
0,preprocessing_only,500,20,311.9294898500002,8
0,preprocessing_only,500,20,312.3838955029996,9
0,preprocessing_only,500,20,309.1739910589995,10
0,preprocessing_only,1000,10,309.41938418000063,1
0,preprocessing_only,1000,10,310.08035391500016,2
0,preprocessing_only,1000,10,310.6986606950004,3
0,preprocessing_only,1000,10,314.34338707999996,4
0,preprocessing_only,1000,10,310.5356454120001,5
0,preprocessing_only,1000,10,310.2817584710001,6
0,preprocessing_only,1000,10,310.29277951899985,7
0,preprocessing_only,1000,10,310.8623158299997,8
0,preprocessing_only,1000,10,311.8706916199999,9
0,preprocessing_only,1000,10,313.9249743799992,10
0,preprocessing_only,1000,20,617.6152712219991,1
0,preprocessing_only,1000,20,617.6533367859993,2
0,preprocessing_only,1000,20,618.6442878300004,3
0,preprocessing_only,1000,20,614.5221929670006,4
0,preprocessing_only,1000,20,614.8994281630003,5
0,preprocessing_only,1000,20,613.6441770750007,6
0,preprocessing_only,1000,20,613.7070004510006,7
0,preprocessing_only,1000,20,614.1725557850004,8
0,preprocessing_only,1000,20,614.0936689700011,9
0,preprocessing_only,1000,20,613.8366952159995,10
