,workflow,N,T,time,seed
0,policy_learning_only,100,10,58.001632729,1
0,policy_learning_only,100,10,57.054995218,2
0,policy_learning_only,100,10,57.956808306,3
0,policy_learning_only,100,10,59.048072392999984,4
0,policy_learning_only,100,10,58.561674918999984,5
0,policy_learning_only,100,10,57.53172960300003,6
0,policy_learning_only,100,10,58.24790698099997,7
0,policy_learning_only,100,10,58.10539132700001,8
0,policy_learning_only,100,10,58.188558703999945,9
0,policy_learning_only,100,10,58.77046683100002,10
0,policy_learning_only,100,20,95.01166175699996,1
0,policy_learning_only,100,20,94.902430536,2
0,policy_learning_only,100,20,94.60196876399993,3
0,policy_learning_only,100,20,93.45328766900002,4
0,policy_learning_only,100,20,92.86550403599995,5
0,policy_learning_only,100,20,92.40732330999981,6
0,policy_learning_only,100,20,91.44679231299983,7
0,policy_learning_only,100,20,91.66182463699988,8
0,policy_learning_only,100,20,91.14759753199996,9
0,policy_learning_only,100,20,90.74104321100003,10
0,policy_learning_only,500,10,170.181691487,1
0,policy_learning_only,500,10,174.61392050100002,2
0,policy_learning_only,500,10,171.39769232599997,3
0,policy_learning_only,500,10,170.66501396399997,4
0,policy_learning_only,500,10,172.62410989500006,5
0,policy_learning_only,500,10,167.33856138700003,6
0,policy_learning_only,500,10,173.423063877,7
0,policy_learning_only,500,10,176.41042515499998,8
0,policy_learning_only,500,10,177.60199691599996,9
0,policy_learning_only,500,10,166.60825337400001,10
0,policy_learning_only,500,20,343.92912610300027,1
0,policy_learning_only,500,20,354.4797018439999,2
0,policy_learning_only,500,20,357.4945953450001,3
0,policy_learning_only,500,20,328.72078346900025,4
0,policy_learning_only,500,20,322.8204984089998,5
0,policy_learning_only,500,20,326.972967058,6
0,policy_learning_only,500,20,325.970687731,7
0,policy_learning_only,500,20,326.9947722980005,8
0,policy_learning_only,500,20,326.0236509820006,9
0,policy_learning_only,500,20,325.4997973159998,10
0,policy_learning_only,1000,10,325.0523801010004,1
0,policy_learning_only,1000,10,326.80017125999984,2
0,policy_learning_only,1000,10,326.6229471070001,3
0,policy_learning_only,1000,10,329.2550740409997,4
0,policy_learning_only,1000,10,331.3366695799996,5
0,policy_learning_only,1000,10,330.2789714190003,6
0,policy_learning_only,1000,10,327.64136339200013,7
0,policy_learning_only,1000,10,325.57120698700055,8
0,policy_learning_only,1000,10,326.7161522289998,9
0,policy_learning_only,1000,10,316.1554689710001,10
0,policy_learning_only,1000,20,629.3088574079993,1
0,policy_learning_only,1000,20,638.4041175840011,2
0,policy_learning_only,1000,20,630.9227757890003,3
0,policy_learning_only,1000,20,624.0301361500005,4
0,policy_learning_only,1000,20,625.3556719759999,5
0,policy_learning_only,1000,20,652.5010638029999,6
0,policy_learning_only,1000,20,643.8862042709989,7
0,policy_learning_only,1000,20,641.0437236929993,8
0,policy_learning_only,1000,20,647.0971615859999,9
0,policy_learning_only,1000,20,639.414751784001,10
